Familia,Descri‡Æo
AVAC-001,'Geradoresdecalorcomcombust¡veisl¡quidosP>=100kW'
AVAC-002,'Armazenamentoetrasfegadecombust¡veisl¡quidos(gas¢leo)'
AVAC-003,'Geradorcalorp/ guaquenteoup/vaporc/combust¡.gasosos'
AVAC-004,'Unidadedeprodu‡Æo guaarrefecida/aquecida(comp.mecƒnica)'
AVAC-005,'Unidadedeprodu‡Æode guaarrefecida/aquecida(absor‡Æo)'
AVAC-006,'SistemadeCapta‡ÆoSolarT‚rmica'
AVAC-007,'TorresdeArrefecimentoeCondensadoresEvaporativos'
AVAC-008,'Unidadesaut¢nomasdecondicionamentodear(SPLIT)'
AVAC-009,'Sistemasaut¢nomosdecondicionamentodear(Multisplit)'
AVAC-010,'Sistemasaut¢nomosdecaudalderefrigerantevari vel(VRV)'
AVAC-011,'UnidadesdeTratamentodeAr/Novo(UTA/UTAN)'
AVAC-012,'Recuperadoresdeenergia(calorar-ar)'
AVAC-013,'Humidificadoresdevapor'
AVAC-014,'Humidificadoreselavadoresdear'
AVAC-015,'Bateriasdetratamentodear'
AVAC-016,'Unidadesdeventila‡Æoeextra‡Æo(incl.desenfumagem)'
AVAC-017,'Permutadoresdecalor gua- gua'
AVAC-018,'Desumidificadores'
AVAC-019,'Unidadesterminaisdeclimatiz.?VentiloconvectorecortinasdeAr'
AVAC-020,'Unidadesterminaisdeclimatiz.?indutoresevigasarrefecidasativas'
AVAC-021,'Unidadesterminaisdeclimatiz.-CaixasdeexpansÆoemistura?caudalconstanteeCaixasderegula‡Æodecaudal?caudaldearvari vel'
AVAC-022,'Unidadesterminaisdeclimatiz.-radiadoreseconectores'
AVAC-023,'Unidadesterminaisdeclimatiz.-pavimentosetetosradiantes'
AVAC-024,'Unidadesterminaisdeclimatiz.-vigasarrefecidaspassivas'
AVAC-025,'UnidadesTerminaisdeClimatiza‡Æo-VRVouMultisplit'
AVAC-026,'CaldeiraaG sP<100kW'
AVAC-027,'CaldeiraEl‚ctrica'
AVAC-028,'CaldeiraaGas¢leoP<100kW'
AVAC-029,'CloseControl'
AVAC-030,'GestÆoT‚cnicaCentralizada'
AVAC-031,'FiltrodecarvÆo'
AVAC-032,'Condutasdear,Isol'
AVAC-033,'Filtrosdear'
HIDR-100,'Filtrosde gua'
"HIDR-101,'V lvulas;'"
HIDR-102,'Tanque/Reservat¢rio'
HIDR-103,'Bombasdecircula‡Æo/esgoto/hidropressoras'
HIDR-104,'Redeshidr ulicas,tubagens,v lvulas,reten‡äes,componenteseacess¢rios'
HIDR-105,'Filtrosdear'
HIDR-106,'Esta‡ÆoElevat¢ria'
"HIDR-107,'VasosdeExpansÆo;'"
HIDR-108,'Reservat¢riosdeIn‚rcia'
HIDR-109,'Meiosdeinterven‡Æodeextin‡Æoincˆndios(meiosport teisem¢veis,BIAs,bocas-de-incˆndio)'
HIDR-110,'ETAR'
HIDR-111,'Condutasdear,Isolamentos,elementosdedifusÆoeacess¢rios'
HIDR-112,'BombaDoseadora'
HIDR-113,'Permutadoresdecalor'
HIDR-114,'TermoacumuladorEl‚c'
PT-200,'PostodeTransforma‡ÆodeCabine'
PT-201,'PostodeTransforma‡ÆoA‚reo'
PT-202,'Outros'
GG-300,'GrupoGerador'
GG-301,''
UPS-400,'UnidadedeAlimenta‡Æoininterrupta?UPS/Retificadores'
UPS-401,'Outros'
"SSI-500,'Dete‡ÆointrusÆo?componenteseacess¢rios;'"
"SSI-501,'CCTV;'"
SSI-502,'SistemaAutom ticodeExtin‡ÆodeIncˆndioporAgentesGasosos'
SSI-503,'Outros'
SCIE-600,'Sistemadeextin‡Æoincˆndios/redede gua/Bombas/sprinkleres'
"SCIE-601,'Dete‡ÆoG s?componenteseacess¢rios;'"
"SCIE-602,'Dete‡Æomon¢xidodecarbono?componenteseacess¢rios;'"
SCIE-603,'Meiosdeinterven‡Æodeextin‡Æoincˆndios(meiosport teisem¢veis,BIAs,bocas-de-incˆndio)'
"SCIE-604,'SADI-Dete‡Æoincˆndio?componenteseacess¢rios;'"
SCIE-605,'Sinaliza‡Æoac£sticaeluminosa'
SCIE-606,'MotoresT‚rmicos'
SCIE-607,'GrupoGeradorparaS'
SCIE-608,'CentraldeBombagem'
SCIE-609,'SistemaAutom ticod'
IE-700,'Bateriasdecondensadores'
IE-701,'Redeel‚trica?componenteseacess¢rios'
"IE-702,'SistemasdeIlumina‡Æo(interioreexterior);'"
IE-703,'Quadrosel‚tricos'
IE-704,'SistemaProte‡Æo(TerradeProte‡Æo/Cat¢dica/Anel)'
IE-705,'Alternador'
IE-706,'SistemasdeContagem'
IE-707,'Bastidor'
IE-708,'SecadordeMÆo'
IE-709,'Termografia'
IE-710,'CentralH¡drica'
IE-711,'Aerogerador'
